ticket,category,ticket_id,priority,submitted_by_dept,timestamp
Unable to view my payroll because it is calculation error. Regards.,Payroll,TCK1180,Medium,Finance,2026-12-13
Please help me open the office VPN. Please advise.,VPN Issue,TCK1301,Low,HR,2026-05-18
Request to report the malware alert.,Security/Phishing,TCK1759,High,Operations,2026-04-17
Facing an issue while trying to provide the shared folder. Regards.,Access Request,TCK1712,Medium,Operations,2026-11-06
Please resolve my VPN access; it is waiting. Regards.,Access Request,TCK1723,Low,Finance,2026-12-25
"Hi team, The HP printer is printing failed.",Printer Issue,TCK1685,High,HR,2026-04-08
please help me unlock the account. kindly help asap.,Account Access,TCK1979,Medium,IT,2026-03-20
I need to submit my transfer policy. It is required.,HR Query,TCK1517,Low,Marketing,2026-05-14
Urgent: The payroll is incorrect.,Payroll,TCK1984,Low,Operations,2026-09-14
can you reset my vpn password?,Password Reset,TCK1045,Medium,HR,2026-04-13
Attendance biometric not syncing with network Kindly help asap.,Attendance,TCK1909,Medium,Finance,2026-08-28
Urgent: Facing an issue while trying to update the earned leave. Please advise.,Leave Management,TCK1157,Low,Finance,2026-08-09
"Urgent: VPN login keeps failing, invalid credentials Thanks.",Login Issue,TCK1851,High,Sales,2026-08-07
Request to download the tax deduction. Kindly help asap.,Payroll,TCK1171,High,HR,2026-02-01
Urgent: Unable to update my password because it is locked.,Password Reset,TCK1016,High,HR,2026-03-20
"Hi, Can you view my HR policy? Kindly help asap.",HR Query,TCK1511,High,Operations,2026-05-01
urgent: please help me change the office password. thanks.,Password Reset,TCK1048,Medium,Finance,2026-06-10
I need to grant my database. It is pending.,Access Request,TCK1971,Low,IT,2026-10-08
Facing an issue while trying to verify the phishing email. Please advise.,Security/Phishing,TCK1940,Medium,IT,2026-06-20
Urgent: Facing an issue while trying to update the maternity policy.,HR Query,TCK1515,Low,Operations,2026-11-07
"Hello, Unable to check my bonus because it is incorrect.",Payroll,TCK1952,Medium,IT,2026-05-06
Need urgent help to check the medical claim. Please advise.,HR Query,TCK1480,High,Operations,2026-09-20
I need to authenticate my office VPN. It is not connecting. Thanks.,VPN Issue,TCK1283,Low,HR,2026-09-16
"Hi team, Please help me enable the VPN access. Kindly help asap.",Access Request,TCK1718,Low,Sales,2026-08-21
"Urgent: Cannot access shared drive, permission and login both failing Thanks.",Account Access,TCK1877,High,IT,2026-12-06
"Hi, My attendance is absent marked. Please help.",Attendance,TCK1225,High,Operations,2026-08-29
Request to recover the office password. Kindly help asap.,Password Reset,TCK1026,Low,Sales,2026-10-09
Unable to access my Exchange because it is full.,Email Issue,TCK1954,Medium,Sales,2026-09-22
Facing an issue while trying to enable the network folder.,Account Access,TCK1437,High,HR,2026-05-31
Unable to download my payslip because it is delayed. Regards.,Payroll,TCK1951,Medium,Marketing,2026-09-13
"Hello, Can you install my Zoom? Please advise.",Software Installation,TCK1364,Low,IT,2026-01-07
Request to update the check-in.,Attendance,TCK1229,Low,IT,2026-03-12
urgent: request to forgot the vpn password. regards.,Password Reset,TCK1037,Low,Finance,2026-03-01
"Hello, Unable to update my tax deduction because it is missing. Thanks.",Payroll,TCK1965,Low,Sales,2026-04-20
Please resolve my Exchange; it is missing emails. Please advise.,Email Issue,TCK1374,Medium,Sales,2026-12-25
"hi, please resolve my account; it is access denied. kindly help asap.",Account Access,TCK1469,Medium,Operations,2026-12-01
Need urgent help to question the general inquiry.,Unclassified,TCK1967,High,HR,2026-09-06
"Hello, VPN login keeps failing, invalid credentials Regards.",VPN Issue,TCK1850,Low,Marketing,2026-06-22
Need urgent help to request the VPN access. Kindly help asap.,Access Request,TCK1704,High,IT,2026-02-16
FYI - I need to issue my cafeteria. It is missing. Kindly help asap.,Unclassified,TCK1841,High,IT,2026-11-17
"Hello, My payroll is pending. Please help.",Payroll,TCK1194,Medium,HR,2026-01-23
"Cannot login to VPN portal, authentication failed Kindly help asap.",VPN Issue,TCK1854,Medium,Operations,2026-10-08
"Forgot my VPN password, cannot connect",Password Reset,TCK1864,Low,HR,2026-03-23
"hello, my maternity policy is update required. please help.",HR Query,TCK1503,High,Marketing,2026-02-02
"Hello, Please help me restore the office network. Kindly help asap.",Network Issue,TCK1969,Low,Marketing,2026-03-20
Please help me help the parking.,Unclassified,TCK1830,Medium,IT,2026-04-30
Urgent: Can you replace my desktop?,Hardware Issue,TCK1579,Low,Marketing,2026-03-29
Unable to investigate my malware alert because it is received.,Security/Phishing,TCK1968,High,HR,2026-10-14
Facing an issue while trying to download the bonus.,Payroll,TCK1162,High,Sales,2026-05-29
Attendance biometric not syncing with network Regards.,Attendance,TCK1908,High,IT,2026-10-25
Need urgent help to update the annual leave. Thanks.,Leave Management,TCK1152,High,Operations,2026-05-17
"Hello, Need urgent help to check the visitor pass. Please advise.",Unclassified,TCK1801,Medium,Marketing,2026-06-21
FYI - Unable to print my printer because it is driver error. Please advise.,Printer Issue,TCK1993,Low,Operations,2026-01-11
"Hi team, Unable to report my unknown link because it is received. Thanks.",Security/Phishing,TCK1755,Low,Operations,2026-11-30
"Hi, My annual leave is not updated. Please help. Kindly help asap.",Leave Management,TCK1111,High,HR,2026-10-20
Can you correct my attendance? Please advise.,Attendance,TCK1226,High,Finance,2026-07-26
"Hello, Can you print my office printer? Kindly help asap.",Printer Issue,TCK1688,Low,IT,2026-09-24
My ERP is failed. Please help.,Login Issue,TCK1103,Low,Operations,2026-10-05
"Hi team, I need to sync my mailbox. It is sync failed. Kindly help asap.",Email Issue,TCK1421,Medium,Finance,2026-05-24
"Hi, Need urgent help to open the Exchange.",Email Issue,TCK1419,Low,HR,2026-05-22
I need to check my phishing email. It is possible attack.,Security/Phishing,TCK1750,Low,IT,2026-09-12
Request to check the office network. Regards.,Network Issue,TCK1586,Medium,Sales,2026-04-23
Facing an issue while trying to investigate the security warning. Kindly help asap.,Security/Phishing,TCK1780,Medium,Marketing,2026-12-15
The printer is offline. Thanks.,Printer Issue,TCK1672,High,Marketing,2026-12-28
Unable to apply my annual leave because it is not updated. Please advise.,Leave Management,TCK1119,High,Sales,2026-11-14
"Hi team, Please resolve my company portal; it is loading forever. Kindly help asap.",Login Issue,TCK1053,Medium,Marketing,2026-11-07
facing an issue while trying to apply the leave balance. kindly help asap.,Leave Management,TCK1151,Medium,Marketing,2026-04-26
"hi team, the exchange is not working. kindly help asap.",Email Issue,TCK1403,Medium,IT,2026-02-07
Unable to check my security warning because it is needs verification.,Security/Phishing,TCK1945,High,Operations,2026-07-04
"hi, the bonus is pending. please advise.",Payroll,TCK1207,Low,Sales,2026-03-30
"Hello, Facing an issue while trying to print the office printer. Please advise.",Printer Issue,TCK1658,High,Marketing,2026-03-11
"hello, the general inquiry is required. regards.",Unclassified,TCK1843,Medium,IT,2026-06-22
"Hi team, Facing an issue while trying to report the phishing email.",Security/Phishing,TCK1762,Low,Sales,2026-09-21
Unable to update my VPN password because it is expired.,Password Reset,TCK1008,High,Operations,2026-10-13
Urgent: Please resolve my visitor pass; it is today. Regards.,Unclassified,TCK1807,High,IT,2026-07-11
"Hi, The domain password is expired.",Password Reset,TCK1036,Medium,Marketing,2026-12-01
"Hello, Please help me restore the user profile.",Account Access,TCK1452,High,HR,2026-04-16
Facing an issue while trying to scan the network printer. Thanks.,Printer Issue,TCK1651,Low,Finance,2026-07-31
Can you check my working hours? Regards.,Attendance,TCK1253,High,IT,2026-11-24
"Hi, Please help me login the GlobalProtect VPN.",VPN Issue,TCK1303,Medium,IT,2026-03-11
Urgent: Need urgent help to report the malware alert.,Security/Phishing,TCK1746,Medium,IT,2026-01-19
I need to check my laptop. It is damaged.,Hardware Issue,TCK1571,High,Marketing,2026-03-31
i need to use my internet. it is packet loss.,Network Issue,TCK1623,Low,Operations,2026-12-01
Urgent: Please help me provide the database. Kindly help asap.,Access Request,TCK1732,Low,Marketing,2026-02-17
Urgent: Laptop won't connect to office WiFi Please advise.,Network Issue,TCK1891,Medium,Finance,2026-04-12
need urgent help to update the working hours.,Attendance,TCK1262,High,Marketing,2026-03-10
FYI - Please help me check the router.,Network Issue,TCK1610,Medium,Finance,2026-12-29
Please help me connect the GlobalProtect VPN. Regards.,VPN Issue,TCK1297,Low,Operations,2026-07-19
Please resolve my email account; it is missing emails. Thanks.,Email Issue,TCK1414,Medium,HR,2026-03-27
urgent: need urgent help to check the sick leave. kindly help asap.,Leave Management,TCK1150,High,HR,2026-03-21
Facing an issue while trying to verify the suspicious attachment.,Security/Phishing,TCK1788,Medium,HR,2026-09-05
Urgent: I need to print my network printer. It is printing failed. Kindly help asap.,Printer Issue,TCK1640,High,HR,2026-01-10
"Hello, Laptop won't connect to office WiFi Please advise.",Hardware Issue,TCK1889,High,Operations,2026-03-08
Please help me repair the monitor.,Hardware Issue,TCK1550,Medium,HR,2026-11-07
FYI - Network printer not detected on office WiFi,Network Issue,TCK1886,Low,Operations,2026-11-25
I need to view my transfer policy. It is not available.,HR Query,TCK1488,Medium,HR,2026-11-21
FYI - Need urgent help to view the leave request.,Leave Management,TCK1147,Medium,Finance,2026-03-20
Please help me update the leave request.,Leave Management,TCK1146,Medium,Finance,2026-08-21
Urgent: I need to enable my application. It is not approved. Thanks.,Access Request,TCK1720,High,HR,2026-10-21
i need to update my leave balance. it is not approved.,Leave Management,TCK1931,High,Operations,2026-10-19
"Hi team, Facing an issue while trying to request the server. Thanks.",Access Request,TCK1739,Medium,HR,2026-12-25
"Hi team, Need urgent help to install the scanner. Please advise.",Printer Issue,TCK1659,High,HR,2026-08-21
Please resolve my Zoom; it is upgrade required.,Software Installation,TCK1348,Low,Operations,2026-03-19
Please resolve my domain account; it is expired.,Account Access,TCK1463,Low,Operations,2026-03-08
Need urgent help to download the VS Code. Regards.,Software Installation,TCK1325,Low,Marketing,2026-03-27
"Hi team, Need urgent help to download the bonus. Kindly help asap.",Payroll,TCK1186,High,Operations,2026-06-21
Urgent: Please resolve my annual leave; it is incorrect. Thanks.,Leave Management,TCK1123,High,Sales,2026-05-21
"Urgent: VPN login keeps failing, invalid credentials",Login Issue,TCK1853,Medium,HR,2026-08-01
Please help me connect the network drive. Regards.,Network Issue,TCK1608,High,Operations,2026-10-30
Facing an issue while trying to check the leave balance.,Leave Management,TCK1143,Medium,Operations,2026-08-16
Can you update my employee portal password?,Password Reset,TCK1958,High,Marketing,2026-11-13
My income statement is not credited. Please help.,Payroll,TCK1197,High,HR,2026-05-27
"Hello, Can you connect my internet? Thanks.",Network Issue,TCK1609,Low,Operations,2026-09-09
Need urgent help to connect the secure network. Thanks.,VPN Issue,TCK1279,High,Marketing,2026-08-02
Need urgent help to open the GlobalProtect VPN.,VPN Issue,TCK1293,High,IT,2026-09-14
Urgent: Please help me open the Exchange. Please advise.,Email Issue,TCK1400,Low,Finance,2026-05-12
Need urgent help to cancel the earned leave.,Leave Management,TCK1122,Low,HR,2026-07-15
"Hi team, The payslip is delayed. Regards.",Payroll,TCK1183,Medium,Marketing,2026-02-22
"Hi team, My tax deduction is delayed. Please help. Thanks.",Payroll,TCK1202,Medium,Finance,2026-09-20
Urgent: Please help me restore the domain account. Regards.,Account Access,TCK1438,Low,Operations,2026-06-21
Unable to regularize my working hours because it is not updated. Regards.,Attendance,TCK1246,Medium,IT,2026-01-05
The corporate email is not working. Thanks.,Email Issue,TCK1415,Medium,HR,2026-11-18
my network folder is locked. please help. thanks.,Account Access,TCK1932,High,Sales,2026-04-02
"Hi, The unknown link is urgent. Thanks.",Security/Phishing,TCK1765,Low,HR,2026-11-09
Received suspicious email asking to reset my password,Password Reset,TCK1906,High,Operations,2026-11-03
Urgent: Request to question the ID card. Regards.,Unclassified,TCK1835,High,Finance,2026-10-05
Laptop won't connect to office WiFi Regards.,Hardware Issue,TCK1887,High,HR,2026-01-02
Unable to apply my leave request because it is missing.,Leave Management,TCK1129,Medium,IT,2026-07-22
Urgent: I need to print my HP printer. It is ink low. Regards.,Printer Issue,TCK1637,High,Finance,2026-02-25
"Hello, Need urgent help to open the email account.",Email Issue,TCK1402,High,Operations,2026-12-18
"Hi, Can you report my security warning? Please advise.",Security/Phishing,TCK1784,High,Operations,2026-01-12
Facing an issue while trying to check the phishing email. Regards.,Security/Phishing,TCK1770,Low,Finance,2026-08-11
FYI - Facing an issue while trying to grant the server. Kindly help asap.,Access Request,TCK1735,Low,Finance,2026-02-01
Attendance biometric not syncing with network Kindly help asap.,Network Issue,TCK1913,Low,Finance,2026-09-09
Can you verify my check-in? Kindly help asap.,Attendance,TCK1219,High,IT,2026-03-22
Urgent: My scanner is ink low. Please help. Please advise.,Printer Issue,TCK1641,High,Finance,2026-02-01
"hi team, salary portal login not working, please check payroll please advise.",Payroll,TCK1915,Low,HR,2026-01-19
My security warning is urgent. Please help. Please advise.,Security/Phishing,TCK1752,Low,IT,2026-10-31
Urgent: Facing an issue while trying to check the cafeteria.,Unclassified,TCK1806,Low,Marketing,2026-07-05
"FYI - Salary portal login not working, please check payroll Thanks.",Login Issue,TCK1919,Medium,HR,2026-03-28
Please resolve my router; it is offline. Thanks.,Network Issue,TCK1624,Low,Finance,2026-10-04
Urgent: Account locked after wrong password attempts,Password Reset,TCK1874,Medium,Marketing,2026-07-11
Can you report my spam email? Regards.,Security/Phishing,TCK1760,Medium,Sales,2026-04-01
the corporate email is missing emails.,Email Issue,TCK1386,Medium,Operations,2026-07-03
Urgent: Please help me connect the office network.,Network Issue,TCK1972,Medium,Sales,2026-09-01
Need urgent help to submit the HR policy. Please advise.,HR Query,TCK1509,Medium,HR,2026-02-28
I need to authenticate my remote network. It is timeout. Please advise.,VPN Issue,TCK1267,Low,HR,2026-09-15
"Hello, Facing an issue while trying to need the office party. Kindly help asap.",Unclassified,TCK1819,Low,IT,2026-11-05
"Hello, Please help me restore the domain account.",Account Access,TCK1441,High,Finance,2026-07-31
My HR policy is update required. Please help. Thanks.,HR Query,TCK1496,Medium,Sales,2026-02-28
FYI - Need urgent help to apply the earned leave. Regards.,Leave Management,TCK1112,Medium,Sales,2026-12-06
Request to enable the GitHub access. Kindly help asap.,Access Request,TCK1691,Medium,HR,2026-12-27
FYI - Please resolve my working hours; it is missing. Kindly help asap.,Attendance,TCK1232,Medium,Marketing,2026-06-07
Account locked after wrong password attempts,Account Access,TCK1869,Low,HR,2026-02-27
request to connect the wifi.,Network Issue,TCK1607,Low,Sales,2026-04-09
Urgent: Can you install my network printer? Kindly help asap.,Printer Issue,TCK1671,High,HR,2026-12-23
"hello, my calendar is not working. please help.",Email Issue,TCK1373,Medium,IT,2026-10-31
Urgent: My tax deduction is delayed. Please help.,Payroll,TCK1981,Low,IT,2026-04-14
FYI - My cafeteria is today. Please help. Kindly help asap.,Unclassified,TCK1842,Low,Operations,2026-05-06
i need to correct my working hours. it is absent marked. regards.,Attendance,TCK1233,Medium,HR,2026-09-26
Can you verify my security warning?,Security/Phishing,TCK1785,Medium,Operations,2026-11-27
FYI - Please resolve my HP printer; it is offline. Kindly help asap.,Printer Issue,TCK1676,High,HR,2026-01-06
"Hello, I need to connect my VPN. It is disconnecting. Regards.",VPN Issue,TCK1317,High,HR,2026-09-22
Unable to scan my printer because it is paper jam. Thanks.,Printer Issue,TCK1648,High,Marketing,2026-05-17
"Hello, Facing an issue while trying to sync the calendar. Regards.",Email Issue,TCK1410,Low,Finance,2026-07-15
"Hello, Outlook login failing, password might be wrong Please advise.",Password Reset,TCK1898,Low,Finance,2026-05-28
I need to need my server. It is waiting. Regards.,Access Request,TCK1709,Medium,Sales,2026-07-15
"Hello, Need urgent help to configure the Postman. Kindly help asap.",Software Installation,TCK1358,High,HR,2026-01-30
The working hours is missing.,Attendance,TCK1258,Medium,HR,2026-09-20
"Hello, The security warning is possible attack. Regards.",Security/Phishing,TCK1744,Medium,IT,2026-11-20
"Hi team, My office network is DNS error. Please help.",Network Issue,TCK1627,Low,Sales,2026-09-14
FYI - Facing an issue while trying to connect the LAN. Please advise.,Network Issue,TCK1632,Low,IT,2026-01-28
"hi team, request to authenticate the office vpn.",VPN Issue,TCK1282,Low,Operations,2026-01-25
"Hi, Unable to send my corporate email because it is login failed. Kindly help asap.",Email Issue,TCK1376,High,Finance,2026-04-17
"hi, the mailbox is sync failed. please advise.",Email Issue,TCK1384,High,Marketing,2026-05-06
"Hello, Facing an issue while trying to update the working hours.",Attendance,TCK1224,Low,HR,2026-10-26
"Hello, My visitor pass is missing. Please help. Kindly help asap.",Unclassified,TCK1953,Medium,Finance,2026-11-19
"Hello, Request to issue the general inquiry.",Unclassified,TCK1814,Low,IT,2026-03-09
"Hi, My network folder is expired. Please help. Regards.",Account Access,TCK1472,High,Sales,2026-02-28
My VS Code is installation error. Please help. Regards.,Software Installation,TCK1347,Low,IT,2026-09-29
Please help me check the maternity policy.,HR Query,TCK1505,Medium,HR,2026-10-01
Facing an issue while trying to configure the Canon printer. Please advise.,Printer Issue,TCK1639,Medium,Marketing,2026-12-31
need urgent help to enable the system account. kindly help asap.,Account Access,TCK1987,High,Marketing,2026-10-16
my shared folder is access denied. please help. thanks.,Access Request,TCK1928,Medium,Sales,2026-12-13
urgent: received suspicious email asking to reset my password thanks.,Password Reset,TCK1905,Low,IT,2026-06-20
request to restore the network drive. thanks.,Network Issue,TCK1619,Medium,HR,2026-03-12
"Cannot login to VPN portal, authentication failed Thanks.",VPN Issue,TCK1855,High,HR,2026-10-23
Request to question the general inquiry. Please advise.,Unclassified,TCK1803,Medium,Finance,2026-10-11
The scanner is ink low. Please advise.,Printer Issue,TCK1645,Low,Operations,2026-10-17
"Hi, Need urgent help to help the visitor pass. Thanks.",Unclassified,TCK1846,Low,Finance,2026-09-12
FYI - Please help me check the webcam. Thanks.,Hardware Issue,TCK1556,Low,Sales,2026-06-10
Need urgent help to update the transfer policy.,HR Query,TCK1957,High,Finance,2026-06-26
can you repair my desktop? thanks.,Hardware Issue,TCK1577,Medium,Marketing,2026-01-28
Please help me question the cafeteria. Thanks.,Unclassified,TCK1795,Medium,Marketing,2026-04-23
Urgent: The system is timed out. Regards.,Login Issue,TCK1085,High,Marketing,2026-05-25
request to update the check-in. please advise.,Attendance,TCK1242,High,HR,2026-11-23
FYI - I need to request my server. It is required.,Access Request,TCK1698,Low,Finance,2026-06-28
Urgent: Please resolve my salary; it is incorrect. Please advise.,Payroll,TCK1159,Medium,Finance,2026-06-17
"Hello, Need urgent help to check the emergency contact.",HR Query,TCK1524,Low,Marketing,2026-07-27
Please resolve my password; it is not working. Please advise.,Password Reset,TCK1035,Low,Finance,2026-02-05
Urgent: Unable to check my webcam because it is overheating. Kindly help asap.,Hardware Issue,TCK1540,Medium,Marketing,2026-07-07
"Hello, My salary is pending. Please help.",Payroll,TCK1170,Medium,Sales,2026-10-25
Need urgent help to configure the office printer.,Printer Issue,TCK1654,High,IT,2026-09-24
Laptop won't connect to office WiFi,Network Issue,TCK1890,Medium,Sales,2026-03-10
Employee portal password is not working,Password Reset,TCK1857,Medium,Marketing,2026-11-17
Urgent: Request to help the parking. Kindly help asap.,Unclassified,TCK1847,Low,Sales,2026-11-22
Facing an issue while trying to upgrade the Chrome. Please advise.,Software Installation,TCK1944,High,Finance,2026-11-05
"Hello, I need to enable my application. It is pending. Regards.",Access Request,TCK1733,Low,Marketing,2026-03-08
the system is loading forever.,Login Issue,TCK1095,Low,Operations,2026-03-18
i need to repair my webcam. it is broken.,Hardware Issue,TCK1563,Medium,Marketing,2026-05-13
Please help me correct the attendance log.,Attendance,TCK1240,Low,Finance,2026-01-22
urgent: request to check the suspicious attachment.,Security/Phishing,TCK1742,High,IT,2026-07-07
"Hello, Please resolve my mouse; it is not working. Please advise.",Hardware Issue,TCK1574,Medium,Finance,2026-12-01
Urgent: My application is required. Please help. Please advise.,Access Request,TCK1690,Low,IT,2026-11-15
urgent: unable to enable my shared drive because it is access denied. regards.,Account Access,TCK1460,Medium,HR,2026-02-28
"Hi, Can you check my mouse?",Hardware Issue,TCK1553,Medium,Sales,2026-12-15
Laptop won't connect to office WiFi Please advise.,Hardware Issue,TCK1888,Medium,Marketing,2026-02-12
i need to view my tax deduction. it is calculation error.,Payroll,TCK1206,Medium,Operations,2026-08-17
"hi team, request to open the corporate email. thanks.",Email Issue,TCK1392,High,HR,2026-01-11
Can you verify my suspicious attachment?,Security/Phishing,TCK1794,Medium,Finance,2026-12-19
Urgent: Please resolve my Exchange; it is sync failed. Please advise.,Email Issue,TCK1397,Low,Operations,2026-10-21
Facing an issue while trying to block the unknown link.,Security/Phishing,TCK1766,High,Finance,2026-05-19
"Hello, VPN login keeps failing, invalid credentials",VPN Issue,TCK1848,Low,Finance,2026-05-16
"Hi team, Please resolve my attendance; it is missing. Regards.",Attendance,TCK1217,Medium,Operations,2026-04-18
urgent: need urgent help to forgot the domain password.,Password Reset,TCK1004,Medium,Marketing,2026-03-05
Unable to check my spam email because it is infected.,Security/Phishing,TCK1768,High,HR,2026-10-23
Urgent: Can you install my printer? Please advise.,Printer Issue,TCK1642,Medium,Operations,2026-03-12
Unable to sync my email account because it is missing emails. Thanks.,Email Issue,TCK1929,Medium,IT,2026-09-02
Request to connect the WiFi.,Network Issue,TCK1612,Low,Marketing,2026-12-03
"hello, please help me provide the application. thanks.",Access Request,TCK1738,High,Operations,2026-05-09
Urgent: Need urgent help to diagnose the webcam. Regards.,Hardware Issue,TCK1546,Low,HR,2026-11-24
"Hi, Facing an issue while trying to provide the server. Regards.",Access Request,TCK1725,Low,Marketing,2026-06-26
fyi - please resolve my scanner; it is ink low. regards.,Printer Issue,TCK1683,Medium,IT,2026-09-12
"Hi team, Facing an issue while trying to access the employee portal.",Login Issue,TCK1098,High,Finance,2026-01-14
Urgent: Facing an issue while trying to need the office party.,Unclassified,TCK1804,Medium,HR,2026-01-14
The application is waiting.,Access Request,TCK1727,High,Sales,2026-01-07
Please resolve my mouse; it is dead.,Hardware Issue,TCK1573,Medium,Sales,2026-11-20
Please help me open the corporate email. Regards.,Email Issue,TCK1406,High,Marketing,2026-05-16
Urgent: Request to view the emergency contact.,HR Query,TCK1502,High,Sales,2026-08-10
Please help me change the domain password.,Password Reset,TCK1047,High,Finance,2026-01-15
Please help me reset the Windows password.,Password Reset,TCK1032,High,IT,2026-08-03
Request to report the malware alert. Please advise.,Security/Phishing,TCK1779,Low,Marketing,2026-02-28
"Hi, Facing an issue while trying to issue the general inquiry.",Unclassified,TCK1839,Low,Marketing,2026-01-29
Need urgent help to download the tax deduction.,Payroll,TCK1200,Low,IT,2026-06-17
Request to view the annual leave.,Leave Management,TCK1134,Medium,Marketing,2026-07-28
"Hi team, Please help me forgot the VPN password. Thanks.",Password Reset,TCK1027,Low,HR,2026-07-28
"Hello, Cannot access shared drive, permission and login both failing",Login Issue,TCK1880,Medium,Sales,2026-01-05
My biometric record is not updated. Please help.,Attendance,TCK1230,Low,Finance,2026-11-10
My emergency contact is update required. Please help.,HR Query,TCK1489,Low,Finance,2026-08-18
"Hi, I need to verify my malware alert. It is possible attack.",Security/Phishing,TCK1772,Low,Sales,2026-09-11
Please resolve my corporate email; it is sync failed. Thanks.,Email Issue,TCK1378,Medium,Sales,2026-09-20
"Hi team, Can you connect my corporate VPN? Thanks.",VPN Issue,TCK1288,Medium,Marketing,2026-09-01
"Hello, Please resolve my email account; it is not working.",Email Issue,TCK1418,Medium,Marketing,2026-06-26
"Hi, Please resolve my HP printer; it is printing failed.",Printer Issue,TCK1674,High,HR,2026-12-29
FYI - Please resolve my calendar; it is missing emails.,Email Issue,TCK1391,High,HR,2026-09-10
"Hi, Need urgent help to use the office network. Regards.",Network Issue,TCK1592,Medium,IT,2026-03-16
Facing an issue while trying to update the employee handbook. Kindly help asap.,HR Query,TCK1498,Low,HR,2026-10-03
Request to apply the annual leave. Kindly help asap.,Leave Management,TCK1138,High,IT,2026-05-22
Urgent: Can you access my employee portal? Please advise.,Login Issue,TCK1062,Medium,Marketing,2026-02-11
"Hi, Can you activate my network folder? Kindly help asap.",Account Access,TCK1471,Low,HR,2026-08-21
"Hi, My HP printer is not detected. Please help. Regards.",Printer Issue,TCK1647,High,Operations,2026-05-21
Urgent: Can you apply my sick leave? Regards.,Leave Management,TCK1128,Low,Sales,2026-02-08
Please resolve my Zoom; it is latest version. Please advise.,Software Installation,TCK1976,High,IT,2026-03-03
"Hi, Please resolve my emergency contact; it is missing. Please advise.",HR Query,TCK1520,High,Operations,2026-03-16
Urgent: Unable to question my ID card because it is missing. Regards.,Unclassified,TCK1838,Low,Marketing,2026-12-12
"Hi team, Can you restore my internet?",Network Issue,TCK1962,Low,Sales,2026-06-02
Request to access the company portal.,Login Issue,TCK1064,High,Operations,2026-01-11
"Hi team, Request to issue the office party. Please advise.",Unclassified,TCK1812,Medium,Sales,2026-07-30
"Hello, Request to forgot the VPN password. Regards.",Password Reset,TCK1014,Medium,Operations,2026-06-24
"hi team, i need to apply my casual leave. it is not approved. regards.",Leave Management,TCK1156,Medium,Operations,2026-08-06
My VPN password is failed. Please help. Regards.,Password Reset,TCK1040,High,Sales,2026-10-15
Urgent: Unable to check my emergency contact because it is required.,HR Query,TCK1492,High,Finance,2026-02-07
"Hi team, I need to open my mailbox. It is full.",Email Issue,TCK1379,High,Operations,2026-10-09
"Hi, Unable to view my salary because it is delayed. Regards.",Payroll,TCK1187,High,Sales,2026-08-18
"Hi, Please help me report the spam email.",Security/Phishing,TCK1763,Medium,HR,2026-12-13
Request to check the biometric record. Please advise.,Attendance,TCK1216,High,Marketing,2026-06-22
Unable to verify my suspicious attachment because it is infected. Please advise.,Security/Phishing,TCK1791,Low,Operations,2026-06-12
Can you update my office password? Regards.,Password Reset,TCK1052,High,Operations,2026-03-31
"Hi team, Cannot access shared drive, permission and login both failing Regards.",Login Issue,TCK1878,High,HR,2026-05-10
Unable to configure my Postman because it is license issue.,Software Installation,TCK1337,High,IT,2026-07-26
facing an issue while trying to investigate the spam email. thanks.,Security/Phishing,TCK1748,Low,Sales,2026-12-01
FYI - Request to provide the VPN access.,Access Request,TCK1719,Medium,Finance,2026-03-27
"Hi team, The shared folder is missing. Kindly help asap.",Access Request,TCK1724,Low,Marketing,2026-03-20
Urgent: Need urgent help to login the VPN.,VPN Issue,TCK1295,Medium,HR,2026-07-02
FYI - Unable to provide my server because it is required. Please advise.,Access Request,TCK1701,High,Sales,2026-08-11
Urgent: Facing an issue while trying to update the check-in.,Attendance,TCK1251,Medium,Finance,2026-06-04
I need to grant my GitHub access. It is required.,Access Request,TCK1726,Medium,Sales,2026-09-30
Need urgent help to restore the user profile. Regards.,Account Access,TCK1461,Medium,Operations,2026-03-27
Please resolve my shared drive; it is expired. Kindly help asap.,Account Access,TCK1455,Medium,HR,2026-01-21
Please resolve my user profile; it is disabled. Please advise.,Account Access,TCK1996,High,Operations,2026-12-16
FYI - I need to question my office party. It is required. Please advise.,Unclassified,TCK1815,High,Marketing,2026-06-25
Employee portal password is not working,Login Issue,TCK1862,Low,HR,2026-01-15
Can you access my corporate VPN?,VPN Issue,TCK1269,Low,Marketing,2026-10-30
Can you check my tax deduction? Please advise.,Payroll,TCK1201,Medium,Sales,2026-01-22
"Hello, Request to verify the payroll.",Payroll,TCK1161,Low,Sales,2026-01-10
the mouse is damaged.,Hardware Issue,TCK1555,Medium,HR,2026-05-28
Urgent: My VPN access is waiting. Please help. Kindly help asap.,Access Request,TCK1729,Low,Finance,2026-12-02
"Hi, Please help me send the Outlook. Regards.",Email Issue,TCK1401,Low,Sales,2026-09-10
Please resolve my VPN access; it is waiting. Please advise.,Access Request,TCK1702,Low,Operations,2026-12-31
"Hi team, The account is access denied. Regards.",Account Access,TCK1476,High,IT,2026-08-19
My parking is tomorrow. Please help.,Unclassified,TCK1821,Low,Marketing,2026-01-08
"Hi team, Please resolve my malware alert; it is clicked accidentally.",Security/Phishing,TCK1771,Low,Sales,2026-09-16
